LFQ intensity MCI_003,LFQ intensity MCI_154,LFQ intensity MCI_242,LFQ intensity MCI_219,LFQ intensity MCI_068,LFQ intensity CTRL_019,LFQ intensity CTRL_275,LFQ intensity CTRL_375,LFQ intensity CTRL_351,LFQ intensity CTRL_111,LFQ intensity AD_214,LFQ intensity AD_082,LFQ intensity AD_075,LFQ intensity AD_078,LFQ intensity AD_059,Protein IDs,Protein names,Gene names,Fasta headers
79195336,109988784,72628472,52376124,81945872,80836664,84734056,73179456,39871472,88957072,82206056,94460600,81351344,51091876,0,A0A0B4J1Y9,,IGHV3-72,sp|A0A0B4J1Y9|HV372_HUMAN Immunoglobulin heavy variable 3-72 OS=Homo sapiens OX=9606 GN=IGHV3-72 PE=3 SV=1
0,45850428,0,0,26071104,41195952,32350448,32175160,0,71041936,0,0,0,0,0,A0A0C4DH31,,IGHV1-18,sp|A0A0C4DH31|HV118_HUMAN Immunoglobulin heavy variable 1-18 OS=Homo sapiens OX=9606 GN=IGHV1-18 PE=3 SV=1
20934688,37370396,37552140,34016364,25763410,71939320,32991500,34117540,21289866,43384444,0,0,0,25642026,0,A0A0C4DH38,,IGHV5-51,sp|A0A0C4DH38|HV551_HUMAN Immunoglobulin heavy variable 5-51 OS=Homo sapiens OX=9606 GN=IGHV5-51 PE=3 SV=1
20258266,20551188,26721702,55999508,0,55549972,56175004,24909222,21316638,47576904,9877284,0,0,12114868,0,A0A0C4DH67,,IGKV1-8;IGKV1-9;IGKV1-27,sp|A0A0C4DH67|KV108_HUMAN Immunoglobulin kappa variable 1-8 OS=Homo sapiens OX=9606 GN=IGKV1-8 PE=3 SV=1;sp|A0A0C4DH69|KV109_HUMAN Immunoglobulin kappa variable 1-9 OS=Homo sapiens OX=9606 GN=IGKV1-9 PE=3 SV=1;sp|A0A075B6S5|KV127_HUMAN Immunoglobulin kappa
0,0,0,0,0,96625440,114639632,43451752,50002792,0,0,37883412,0,0,0,A0A0C4DH68,,IGKV2-24,sp|A0A0C4DH68|KV224_HUMAN Immunoglobulin kappa variable 2-24 OS=Homo sapiens OX=9606 GN=IGKV2-24 PE=3 SV=1
0,18996310,0,0,0,53820904,31966028,49152996,20621960,41827424,0,0,0,0,0,A0A0C4DH72,Ig kappa chain V-I region Wes,IGKV1-6;IGKV1-12,sp|A0A0C4DH72|KV106_HUMAN Immunoglobulin kappa variable 1-6 OS=Homo sapiens OX=9606 GN=IGKV1-6 PE=3 SV=1;sp|A0A0C4DH73|KV112_HUMAN Immunoglobulin kappa variable 1-12 OS=Homo sapiens OX=9606 GN=IGKV1-12 PE=3 SV=1;sp|P01611|KVD12_HUMAN Immunoglobulin kappa v
0,0,24180370,0,0,13325776,29081820,0,0,0,31351012,26554314,34260612,33504198,21403866,A6NLU5,V-set and transmembrane domain-containing protein 2B,VSTM2B,sp|A6NLU5|VTM2B_HUMAN V-set and transmembrane domain-containing protein 2B OS=Homo sapiens OX=9606 GN=VSTM2B PE=3 SV=2
29583100,19959048,21877290,25235884,22003870,32729960,28984658,34184984,28084474,31977440,24802092,22871724,25895086,18223548,26024190,O00391,Sulfhydryl oxidase 1,QSOX1,sp|O00391|QSOX1_HUMAN Sulfhydryl oxidase 1 OS=Homo sapiens OX=9606 GN=QSOX1 PE=1 SV=3
29945844,19025028,41624228,37403300,0,50455660,27236814,24135866,19830054,39195116,52104672,43464476,45571220,43817532,36078440,O00451,GDNF family receptor alpha-2,GFRA2,sp|O00451|GFRA2_HUMAN GDNF family receptor alpha-2 OS=Homo sapiens OX=9606 GN=GFRA2 PE=1 SV=2
0,0,0,0,0,0,0,0,0,0,0,20345320,20882112,19422752,0,O00461,Golgi integral membrane protein 4,GOLIM4,sp|O00461|GOLI4_HUMAN Golgi integral membrane protein 4 OS=Homo sapiens OX=9606 GN=GOLIM4 PE=1 SV=1
18409582,0,0,0,0,5758530.5,5433211,8214797.5,7500278,8797166,0,0,0,0,0,O00462,Beta-mannosidase,MANBA,sp|O00462|MANBA_HUMAN Beta-mannosidase OS=Homo sapiens OX=9606 GN=MANBA PE=2 SV=3
120788088,75259088,102052320,121358896,118857256,62490152,53888548,45951668,61977196,57653648,50625328,96937416,29746704,82646080,121863680,O00468,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,AGRN,sp|O00468|AGRIN_HUMAN Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=6
1192536064,1158623104,1148761216,1210883712,1037329344,1725664512,1370078208,1333872384,1139188864,1468719616,1742437504,1530313856,1835883264,1819660672,1366363776,O00533,Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein,CHL1,sp|O00533|NCHL1_HUMAN Neural cell adhesion molecule L1-like protein OS=Homo sapiens OX=9606 GN=CHL1 PE=1 SV=4
68396568,57274744,70698648,76851544,63238108,76237160,62184212,41942512,42093596,71016856,45874896,45050752,45080372,41140284,35624236,O00584,Ribonuclease T2,RNASET2,sp|O00584|RNT2_HUMAN Ribonuclease T2 OS=Homo sapiens OX=9606 GN=RNASET2 PE=1 SV=2
91745192,79067648,57944340,77126336,65893740,46002392,43819692,53289548,44784948,53244876,57461540,58277308,72443304,90928392,52374704,O14498,Immunoglobulin superfamily containing leucine-rich repeat protein,ISLR,sp|O14498|ISLR_HUMAN Immunoglobulin superfamily containing leucine-rich repeat protein OS=Homo sapiens OX=9606 GN=ISLR PE=2 SV=1
7402821,0,0,5379267.5,0,0,0,0,0,4184518.75,5848452,6924209.5,5633226.5,6733999,7257581,O14514,Brain-specific angiogenesis inhibitor 1,BAI1,sp|O14514|AGRB1_HUMAN Adhesion G protein-coupled receptor B1 OS=Homo sapiens OX=9606 GN=ADGRB1 PE=1 SV=2
244733872,269840320,240890416,368473312,227255296,323124096,205907776,208880752,154773904,322470432,545579904,484636480,364870368,513839072,341778336,O14594,Neurocan core protein,NCAN,sp|O14594|NCAN_HUMAN Neurocan core protein OS=Homo sapiens OX=9606 GN=NCAN PE=1 SV=3
23372372,18375454,39930668,23442298,19868950,28475350,20236984,12918923,13636280,22780568,16698487,24576150,26310780,9502057,19768066,O14773,Tripeptidyl-peptidase 1,TPP1,sp|O14773|TPP1_HUMAN Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2
0,0,0,0,0,3391087.5,0,4216133,5528545,4598644.5,0,0,0,23965214,13289910,O14791,Apolipoprotein L1,APOL1,sp|O14791|APOL1_HUMAN Apolipoprotein L1 OS=Homo sapiens OX=9606 GN=APOL1 PE=1 SV=5
39546780,63782804,33863240,37286144,36258124,44739620,50588236,41169156,51960012,46635376,35323488,31513008,36158240,52879848,47135912,O15031,Plexin-B2,PLXNB2,sp|O15031|PLXB2_HUMAN Plexin-B2 OS=Homo sapiens OX=9606 GN=PLXNB2 PE=1 SV=3
749702976,650641728,638052864,790605120,478794720,1173190656,610119424,665474880,594929792,856936000,1059796480,988955904,1509669888,1392431744,920140224,O15240,Neurosecretory protein VGF;Neuroendocrine regulatory peptide-1;Neuroendocrine regulatory peptide-2;Antimicrobial peptide VGF[554-577],VGF,sp|O15240|VGF_HUMAN Neurosecretory protein VGF OS=Homo sapiens OX=9606 GN=VGF PE=1 SV=2
16115952,17430492,0,12843738,0,0,0,0,0,0,18938326,18686182,20407470,19592316,0,O15354,Prosaposin receptor GPR37,GPR37,sp|O15354|GPR37_HUMAN Prosaposin receptor GPR37 OS=Homo sapiens OX=9606 GN=GPR37 PE=1 SV=2
227883296,223221344,294020128,320715360,299598752,279750240,251161648,249152160,270037056,336243264,363127776,512971872,347796416,404789792,394585216,O15394,Neural cell adhesion molecule 2,NCAM2,sp|O15394|NCAM2_HUMAN Neural cell adhesion molecule 2 OS=Homo sapiens OX=9606 GN=NCAM2 PE=1 SV=2
55387416,81343208,72310808,82864960,78644088,30792116,30349140,33865752,35263764,33776896,70086480,91457552,101743784,110366216,82314760,O43493,Trans-Golgi network integral membrane protein 2,TGOLN2,sp|O43493|TGON2_HUMAN Trans-Golgi network integral membrane protein 2 OS=Homo sapiens OX=9606 GN=TGOLN2 PE=1 SV=3
1640275456,1880759168,1573461376,1947361664,1596597760,1829408512,1264890752,1044313856,1182884608,1422636032,2418738432,1982212736,2179264256,1766775168,1603763072,O43505,"Beta-1,4-glucuronyltransferase 1",B4GAT1,"sp|O43505|B4GA1_HUMAN Beta-1,4-glucuronyltransferase 1 OS=Homo sapiens OX=9606 GN=B4GAT1 PE=1 SV=1"
0,0,0,0,0,14436794,7940392,8228136.5,10783728,0,0,0,0,0,0,O43556,Epsilon-sarcoglycan,SGCE,sp|O43556|SGCE_HUMAN Epsilon-sarcoglycan OS=Homo sapiens OX=9606 GN=SGCE PE=1 SV=6
21967854,29783360,36636864,32022542,24771692,20829744,15427506,16033625,16711749,22253898,29983770,19517016,32661252,33754780,27596270,O60241,Brain-specific angiogenesis inhibitor 2,BAI2,sp|O60241|AGRB2_HUMAN Adhesion G protein-coupled receptor B2 OS=Homo sapiens OX=9606 GN=ADGRB2 PE=1 SV=2
0,0,61206376,0,0,36133832,28895946,37185480,28956698,31276258,0,0,59718872,0,52787016,O60279,Sushi domain-containing protein 5,SUSD5,sp|O60279|SUSD5_HUMAN Sushi domain-containing protein 5 OS=Homo sapiens OX=9606 GN=SUSD5 PE=1 SV=3
15965897,0,0,9686430,9695421,0,0,0,0,0,10430429,9251507,7587218,0,0,O60888,Protein CutA,CUTA,sp|O60888|CUTA_HUMAN Protein CutA OS=Homo sapiens OX=9606 GN=CUTA PE=1 SV=2
14583821,0,20813106,27331952,15253785,24281442,15444403,16601651,0,16532632,23794120,30880522,25986680,0,0,O75144,ICOS ligand,ICOSLG,sp|O75144|ICOSL_HUMAN ICOS ligand OS=Homo sapiens OX=9606 GN=ICOSLG PE=1 SV=2
245709888,356897056,364164832,442048704,307811808,382151488,285315904,220046448,261258464,356609952,306925056,353028672,351060896,434124576,417030880,O75326,Semaphorin-7A,SEMA7A,sp|O75326|SEM7A_HUMAN Semaphorin-7A OS=Homo sapiens OX=9606 GN=SEMA7A PE=1 SV=1
39961716,32515676,30142572,31726452,23843878,31209668,14410481,34791976,34897400,27619872,50750904,42404428,44018828,36938836,32006028,O75509,Tumor necrosis factor receptor superfamily member 21,TNFRSF21,sp|O75509|TNR21_HUMAN Tumor necrosis factor receptor superfamily member 21 OS=Homo sapiens OX=9606 GN=TNFRSF21 PE=1 SV=1
56227724,51498312,61593532,76674744,0,101003296,80220280,39826280,20063962,54469592,0,0,0,0,0,O75711,Scrapie-responsive protein 1,SCRG1,sp|O75711|SCRG1_HUMAN Scrapie-responsive protein 1 OS=Homo sapiens OX=9606 GN=SCRG1 PE=1 SV=1
12367438,27159076,25893784,18614740,13279577,19265306,21666944,16670594,12746161,15200282,26598436,22584322,34145536,19424636,19389048,O75787,Renin receptor,ATP6AP2,sp|O75787|RENR_HUMAN Renin receptor OS=Homo sapiens OX=9606 GN=ATP6AP2 PE=1 SV=2
82225152,84351768,73897152,109715496,118208728,61280728,60538808,40701548,42172508,47069044,101311912,107727632,102509408,91584048,88722136,O75882,Attractin,ATRN,sp|O75882|ATRN_HUMAN Attractin OS=Homo sapiens OX=9606 GN=ATRN PE=1 SV=2
56112900,41534512,22353788,36657748,58733948,32950692,33501598,30340690,28495926,36557588,40426144,50540732,39455600,34728836,40177312,O94769,Extracellular matrix protein 2,ECM2,sp|O94769|ECM2_HUMAN Extracellular matrix protein 2 OS=Homo sapiens OX=9606 GN=ECM2 PE=2 SV=1
194390928,319714016,208667136,337863072,350249856,241020976,269833504,135131776,179475168,175817920,208195104,356317600,178271216,442339072,150732160,O94772,Lymphocyte antigen 6H,LY6H,sp|O94772|LY6H_HUMAN Lymphocyte antigen 6H OS=Homo sapiens OX=9606 GN=LY6H PE=1 SV=1
204508576,177942544,164463840,196706560,168753296,184918240,133153064,123089320,122627032,170289968,236327088,219579088,244930032,259340544,186508544,O94856,Neurofascin,NFASC,sp|O94856|NFASC_HUMAN Neurofascin OS=Homo sapiens OX=9606 GN=NFASC PE=1 SV=4
20496006,0,23449738,22502902,13920053,27431472,32305036,30682406,17588200,17634040,40640540,51461632,48946084,23718402,0,O94910,Latrophilin-1,LPHN1,sp|O94910|AGRL1_HUMAN Adhesion G protein-coupled receptor L1 OS=Homo sapiens OX=9606 GN=ADGRL1 PE=1 SV=1
71963968,43931788,82307368,47804820,56352876,98106184,84104616,68531832,77516584,85058256,81942648,93478976,100015248,71402024,83523032,O94919,Endonuclease domain-containing 1 protein,ENDOD1,sp|O94919|ENDD1_HUMAN Endonuclease domain-containing 1 protein OS=Homo sapiens OX=9606 GN=ENDOD1 PE=1 SV=2
1568066176,1387765888,1503217408,1814759808,1630799104,1439540608,1412850304,1465762304,1377493376,1361609216,2215397888,2203152896,2349017344,2223376640,2043835008,O94985,Calsyntenin-1;Soluble Alc-alpha;CTF1-alpha,CLSTN1,sp|O94985|CSTN1_HUMAN Calsyntenin-1 OS=Homo sapiens OX=9606 GN=CLSTN1 PE=1 SV=1
29374328,0,14075799,12609422,0,6501845.5,5744443.5,0,0,0,0,0,0,14661926,12923680,O95428,Papilin,PAPLN,sp|O95428|PPN_HUMAN Papilin OS=Homo sapiens OX=9606 GN=PAPLN PE=2 SV=4
19681270,0,0,14132053,12716024,0,8045896,12307134,0,0,19444304,0,17603774,12708723,16292956,O95445,Apolipoprotein M,APOM,sp|O95445|APOM_HUMAN Apolipoprotein M OS=Homo sapiens OX=9606 GN=APOM PE=1 SV=2
143573024,190086176,135151184,149074272,125564968,170506288,121873912,111123304,109247776,205004208,259926096,222263360,235676752,235620256,165584240,O95502,Neuronal pentraxin receptor,NPTXR,sp|O95502|NPTXR_HUMAN Neuronal pentraxin receptor OS=Homo sapiens OX=9606 GN=NPTXR PE=3 SV=2
38622960,36135520,31635604,38998784,41025008,38409212,33199552,19203482,42376824,31646180,31602162,36395804,38563152,36923764,48813824,O95967,EGF-containing fibulin-like extracellular matrix protein 2,EFEMP2,sp|O95967|FBLN4_HUMAN EGF-containing fibulin-like extracellular matrix protein 2 OS=Homo sapiens OX=9606 GN=EFEMP2 PE=1 SV=3
27077828,0,28040018,37392648,48935096,9485039,13600453,10803738,14013492,0,32563888,31199296,27569602,38084344,39727516,P00338,L-lactate dehydrogenase A chain,LDHA,sp|P00338|LDHA_HUMAN L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2
351207968,317936224,310737312,299158240,268545408,478905696,427234592,389839808,317706400,320965664,331274464,387916640,574807040,339092704,415729984,P00441,Superoxide dismutase [Cu-Zn],SOD1,sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2
3311396864,2779224064,3056546560,2692935424,3048769024,2360453120,1660400128,2558965504,2676697856,2728861184,2458738944,3231247104,2259044608,2575318528,2952112896,P00450,Ceruloplasmin,CP,sp|P00450|CERU_HUMAN Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1
19303652,0,15237466,17629758,12791291,0,11001391,12353595,6208147,3163573,0,17453846,17252432,23659998,25878668,P00558,Phosphoglycerate kinase 1,PGK1,sp|P00558|PGK1_HUMAN Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3
868103232,1093323776,1232049408,1072636928,1266276992,813719360,772199040,896417216,904886208,889612544,1074038656,972789568,907032576,903650624,1341735168,P00734,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,F2,sp|P00734|THRB_HUMAN Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=2
595419904,500118112,460358208,577803136,625422464,578391488,638042688,652450752,590843456,549252032,382484800,489645760,512500064,543927488,688385408,P00736,Complement C1r subcomponent;Complement C1r subcomponent heavy chain;Complement C1r subcomponent light chain,C1R,sp|P00736|C1R_HUMAN Complement C1r subcomponent OS=Homo sapiens OX=9606 GN=C1R PE=1 SV=2
4744360960,13717657600,2758734336,6007235584,8555298816,1987875712,277902080,5861310464,8270342656,5334519296,2850167040,3270208256,6919056384,18698330112,6984175616,P00738,Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain,HP,sp|P00738|HPT_HUMAN Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1
0,11510334,0,0,8633879,8886395,4386721.5,11959724,5304641.5,4303751,0,4570094.5,0,9982680,8412717,P00739,Haptoglobin-related protein,HPR,sp|P00739|HPTR_HUMAN Haptoglobin-related protein OS=Homo sapiens OX=9606 GN=HPR PE=2 SV=2
31109752,10115867,20326680,17119374,14829642,8228338,7309372,10317543,13328394,8034017,16839990,16956458,12976430,0,15491482,P00740,Coagulation factor IX;Coagulation factor IXa light chain;Coagulation factor IXa heavy chain,F9,sp|P00740|FA9_HUMAN Coagulation factor IX OS=Homo sapiens OX=9606 GN=F9 PE=1 SV=2
64416836,34911584,62584256,63674440,61003780,23181460,0,18175338,17354292,17013322,49191932,52974540,41494140,0,56266316,P00742,Coagulation factor X;Factor X light chain;Factor X heavy chain;Activated factor Xa heavy chain,F10,sp|P00742|FA10_HUMAN Coagulation factor X OS=Homo sapiens OX=9606 GN=F10 PE=1 SV=2
104780440,62253908,176904464,114885368,169811296,109731408,87230672,68785120,92895344,59034068,88092792,45055812,84876512,72391152,116009728,P00746,Complement factor D,CFD,sp|P00746|CFAD_HUMAN Complement factor D OS=Homo sapiens OX=9606 GN=CFD PE=1 SV=5
1572711296,1727459456,1896686976,1878195712,2401429248,1480376064,1314104960,1707825408,2156463616,1894026624,1685377152,1909299712,2128582656,1714888192,2208186624,P00747,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",PLG,sp|P00747|PLMN_HUMAN Plasminogen OS=Homo sapiens OX=9606 GN=PLG PE=1 SV=2
185374560,177737408,124094400,104236752,157662128,137791968,84296832,69858224,150631184,96717096,117177312,146729280,165675952,166294480,191337232,P00748,Coagulation factor XII;Coagulation factor XIIa heavy chain;Beta-factor XIIa part 1;Coagulation factor XIIa light chain,F12,sp|P00748|FA12_HUMAN Coagulation factor XII OS=Homo sapiens OX=9606 GN=F12 PE=1 SV=3
2425313280,2542505216,2798442752,2425601536,2841194240,1594328960,1131927680,2234636032,2318931200,2308674816,3235867904,4533410304,3598209792,2473956096,2683999744,P00751,Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment,CFB,sp|P00751|CFAB_HUMAN Complement factor B OS=Homo sapiens OX=9606 GN=CFB PE=1 SV=2
3374811648,2898198784,3002741760,3151769600,3490190592,1698624896,1782379648,1546409984,1830542336,2336889344,2095825536,3041754112,2207329536,2223376640,3188916992,P01008,Antithrombin-III,SERPINC1,sp|P01008|ANT3_HUMAN Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1
44820901888,48709926912,27351078912,45538340864,49744568320,23281709056,13784214528,31458758656,33903994880,32098656256,41072398336,41053433856,41552855040,42967822336,48699170816,P01009,Alpha-1-antitrypsin;Short peptide from AAT,SERPINA1,sp|P01009|A1AT_HUMAN Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3
5401995264,6498895872,7575351296,5666624512,4917414912,4261139712,3444152576,4540762112,5655785472,3630261248,4091006720,6043029504,4549606400,5341680640,4775107072,P01011,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,SERPINA3,sp|P01011|AACT_HUMAN Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2
4794988544,6707991040,5594502656,5382036480,4345341952,8193020416,6536940544,3746874368,3624871168,5919185920,4676617728,5508957696,4090935296,4345767424,5249817600,P01019,Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4,AGT,sp|P01019|ANGT_HUMAN Angiotensinogen OS=Homo sapiens OX=9606 GN=AGT PE=1 SV=1
8515579904,6413835776,7856486400,7741177344,7795532288,8069502464,8780624896,7848802816,8278515712,8349287424,9446958080,8129729024,8284737024,7685259776,10037051392,P01023,Alpha-2-macroglobulin,A2M,sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3
23133849600,22320766976,28776607744,26053861376,28125550592,22855880704,19743784960,20326043648,23092084736,20850489344,23308662784,25491736576,27142164480,23407534080,27713128448,P01024,Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2,C3,sp|P01024|CO3_HUMAN Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2
241615328,265532608,292392096,264969328,336166944,239475840,120902304,228394480,204134144,194951504,239622672,316825152,242511040,271831840,293315104,P01031,Complement C5;Complement C5 beta chain;Complement C5 alpha chain;C5a anaphylatoxin;Complement C5 alpha chain,C5,sp|P01031|CO5_HUMAN Complement C5 OS=Homo sapiens OX=9606 GN=C5 PE=1 SV=4
340821536,199111856,259454048,251783712,278888640,143972464,261722640,203994832,148249840,157666608,314306432,294333920,276588448,330369536,366605280,P01033,Metalloproteinase inhibitor 1,TIMP1,sp|P01033|TIMP1_HUMAN Metalloproteinase inhibitor 1 OS=Homo sapiens OX=9606 GN=TIMP1 PE=1 SV=1
14851311616,12567021568,14025965568,9863445504,11942056960,17817671680,13338540032,18929209344,14049564672,12175064064,18758539264,12312236032,14840708096,15821562880,10683743232,P01034,Cystatin-C,CST3,sp|P01034|CYTC_HUMAN Cystatin-C OS=Homo sapiens OX=9606 GN=CST3 PE=1 SV=1
1471430400,1433714816,1537783424,1492361600,1726941440,1229569280,788822016,1283484416,1648488576,1455030400,1649419776,1806685056,1718361856,1790288128,1578936192,P01042,Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,KNG1,sp|P01042|KNG1_HUMAN Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2
218913904,160971536,175858144,242730576,120535368,138720880,142763568,164727584,98395000,65986320,218749568,203693552,273347456,152335488,136856864,P01210,Proenkephalin-A;Synenkephalin;Met-enkephalin;PENK(114-133);PENK(143-183);Met-enkephalin-Arg-Gly-Leu;Leu-enkephalin;PENK(237-258);Met-enkephalin-Arg-Phe,PENK,sp|P01210|PENK_HUMAN Proenkephalin-A OS=Homo sapiens OX=9606 GN=PENK PE=1 SV=1
7893959,6826829,6995610,0,0,5493008,0,0,7626532,6385351.5,14466611,0,0,9846463,6722456.5,P01303,Pro-neuropeptide Y;Neuropeptide Y;C-flanking peptide of NPY,NPY,sp|P01303|NPY_HUMAN Pro-neuropeptide Y OS=Homo sapiens OX=9606 GN=NPY PE=1 SV=1
336202432,287344672,244007520,218702480,299030720,233617248,252935904,235903216,222607248,283555392,247206224,284416544,283587136,180726352,248379664,P01344,Insulin-like growth factor II;Insulin-like growth factor II;Insulin-like growth factor II Ala-25 Del;Preptin,IGF2,sp|P01344|IGF2_HUMAN Insulin-like growth factor II OS=Homo sapiens OX=9606 GN=IGF2 PE=1 SV=1
